input,output,announce_date,is_divorce,text_combined,input_processed,topic_label
자동차 운전 중 발생한 피해에 대한 손해배상청구는 어떻게 이루어지나요?,"자동차 운전 중 발생한 피해에 대한 손해배상청구는 민법 제750조에 따라 불법행위에 기초한 손해배상청구로 이루어집니다. 가해자는 피해자에게 발생한 손해를 배상해야 하며, 이는 재산상 손해, 치료비, 정신적 손해(위자료) 등이 포함됩니다. 피해자는 교통사고 발생과 손해의 인과관계를 입증해야 하며, 보험회사를 통한 청구도 가능할 수 있습니다. 또한, 가해자의 과실 정도에 따라 과실상계가 이루어질 수 있습니다.",2019-04-04T09:00:00.000+09:00,0,"자동차 운전 중 발생한 피해에 대한 손해배상청구는 어떻게 이루어지나요? 자동차 운전 중 발생한 피해에 대한 손해배상청구는 민법 제750조에 따라 불법행위에 기초한 손해배상청구로 이루어집니다. 가해자는 피해자에게 발생한 손해를 배상해야 하며, 이는 재산상 손해, 치료비, 정신적 손해(위자료) 등이 포함됩니다. 피해자는 교통사고 발생과 손해의 인과관계를 입증해야 하며, 보험회사를 통한 청구도 가능할 수 있습니다. 또한, 가해자의 과실 정도에 따라 과실상계가 이루어질 수 있습니다.",발생 이루어지다 대한 어떻다 운전 피해 청구 손해배상 자동차,-1
추가된 청구에 대해 판결 주문에 기재되지 않았을 때 상고의 법적 효력은 어떻게 되나요?,추가된 청구에 대해 판결 주문에 기재되지 않으면 그 부분은 여전히 항소심에 계속 중으로 간주되어 상고의 대상이 되지 않습니다. 따라서 상고는 부적법하게 됩니다.,2017-02-15T09:00:00.000+09:00,0,추가된 청구에 대해 판결 주문에 기재되지 않았을 때 상고의 법적 효력은 어떻게 되나요? 추가된 청구에 대해 판결 주문에 기재되지 않으면 그 부분은 여전히 항소심에 계속 중으로 간주되어 상고의 대상이 되지 않습니다. 따라서 상고는 부적법하게 됩니다.,추가 판결 어떻다 주문 기재 효력 대해 청구 법적 상고,-1
상고이유서 제출 기한 이후에 제출된 상고이유보충서는 어떤 범위 내에서 인정되나요?,상고이유서 제출 기한이 지난 후에 제출된 상고이유보충서는 초기 상고이유를 보충하는 범위 내에서만 인정됩니다. 이는 관련 법리와 판례에 따라 정당한 절차로 인정됩니다.,2019-12-12T09:00:00.000+09:00,0,상고이유서 제출 기한 이후에 제출된 상고이유보충서는 어떤 범위 내에서 인정되나요? 상고이유서 제출 기한이 지난 후에 제출된 상고이유보충서는 초기 상고이유를 보충하는 범위 내에서만 인정됩니다. 이는 관련 법리와 판례에 따라 정당한 절차로 인정됩니다.,기한 서다 보충 이유 어떻다 인정 범위 제출 상고,-1
재단법인의 대표자가 직무집행정지 가처분을 받은 경우 사업지연에 관한 부당함을 주장하려면 어떤 증거가 필요한가요?,"재단법인의 대표자가 직무집행정지 가처분을 받은 경우 그로 인해 사업이 지연되었다는 사실을 증명하기 위해서는 직무대행자 선임 결정이 내려졌음에도 불구하고 직무대행자가 사업을 진행하지 못한 이유 등에 관한 구체적인 증거가 필요합니다. 예를 들어, 직무대행자가 사업을 수행하지 않거나 재단법인 측의 협조가 부족했음을 입증하는 증언이나 문서 등이 필요합니다.",2015-01-27T09:00:00.000+09:00,0,"재단법인의 대표자가 직무집행정지 가처분을 받은 경우 사업지연에 관한 부당함을 주장하려면 어떤 증거가 필요한가요? 재단법인의 대표자가 직무집행정지 가처분을 받은 경우 그로 인해 사업이 지연되었다는 사실을 증명하기 위해서는 직무대행자 선임 결정이 내려졌음에도 불구하고 직무대행자가 사업을 진행하지 못한 이유 등에 관한 구체적인 증거가 필요합니다. 예를 들어, 직무대행자가 사업을 수행하지 않거나 재단법인 측의 협조가 부족했음을 입증하는 증언이나 문서 등이 필요합니다.",필요하다 집행정지 지연 주장 직무 증거 어떻다 부당하다 대표자 재단법인 받다 사업 가처분,-1
해고 예고 절차를 거치지 않고 해고된 근로자가 청구할 수 있는 금전적 보상은 무엇인가요?,"해고 예고 절차를 거치지 않고 해고된 근로자는 해고수당을 포함한 임금, 상여금, 퇴직금 등과 같은 금전적 보상을 청구할 수 있습니다. 예를 들어, 2014년도 6월 및 7월 간의 임금, 상여금, 해고수당, 퇴직금 등을 포함한 보상을 청구할 수 있습니다. 이러한 금전적 보상은 근로기준법에 따라 해고 절차가 부당한 경우 근로자가 보호받을 수 있는 권리에 해당합니다.",2017-09-28T09:00:00.000+09:00,0,"해고 예고 절차를 거치지 않고 해고된 근로자가 청구할 수 있는 금전적 보상은 무엇인가요? 해고 예고 절차를 거치지 않고 해고된 근로자는 해고수당을 포함한 임금, 상여금, 퇴직금 등과 같은 금전적 보상을 청구할 수 있습니다. 예를 들어, 2014년도 6월 및 7월 간의 임금, 상여금, 해고수당, 퇴직금 등을 포함한 보상을 청구할 수 있습니다. 이러한 금전적 보상은 근로기준법에 따라 해고 절차가 부당한 경우 근로자가 보호받을 수 있는 권리에 해당합니다.",예고 보상 근로자 금전 청구 거치 해고,-1
근로자가 자신에게 체불된 임금과 퇴직금을 청구하고자 하는 경우 어떤 증거가 필요한가요?,"근로자가 체불된 임금과 퇴직금을 청구하려면, 고용주와 체결한 근로계약서, 급여명세서, 그리고 근로시간 내역과 같은 증거가 필요합니다. 고용노동청에서 발급한 체불 임금등·사업주 확인서도 중요한 증거로 사용될 수 있습니다. 이러한 증거를 통해 근로 실태 및 임금 미지급 사실을 입증할 수 있어야 하며, 관련 법률에 따라 고용주의 지급 의무를 명확히 증명해야 합니다.",2021-07-14T09:00:00.000+09:00,0,"근로자가 자신에게 체불된 임금과 퇴직금을 청구하고자 하는 경우 어떤 증거가 필요한가요? 근로자가 체불된 임금과 퇴직금을 청구하려면, 고용주와 체결한 근로계약서, 급여명세서, 그리고 근로시간 내역과 같은 증거가 필요합니다. 고용노동청에서 발급한 체불 임금등·사업주 확인서도 중요한 증거로 사용될 수 있습니다. 이러한 증거를 통해 근로 실태 및 임금 미지급 사실을 입증할 수 있어야 하며, 관련 법률에 따라 고용주의 지급 의무를 명확히 증명해야 합니다.",필요하다 퇴직금 증거 근로자 어떻다 청구 자신 체불 임금,-1
도시 및 주거환경정비법에 따라 재개발조합이 행정청으로부터 받은 조합설립인가처분 및 사업시행인가처분의 법적 성격은 무엇인가요?,"도시정비법상 재개발조합설립인가처분은 단순히 사인들의 조합설립 행위에 대한 보충행위에 그치지 않고, 법령상 일정한 요건을 갖추면 행정주체로서의 지위를 부여하는 설권적 처분입니다. 이는 조합이 사업시행자로서 정비구역 내 토지 등을 수용하고 관리처분계획을 실행할 수 있는 권한을 받게 되는 중요한 행정처분입니다.",2017-12-15T09:00:00.000+09:00,0,"도시 및 주거환경정비법에 따라 재개발조합이 행정청으로부터 받은 조합설립인가처분 및 사업시행인가처분의 법적 성격은 무엇인가요? 도시정비법상 재개발조합설립인가처분은 단순히 사인들의 조합설립 행위에 대한 보충행위에 그치지 않고, 법령상 일정한 요건을 갖추면 행정주체로서의 지위를 부여하는 설권적 처분입니다. 이는 조합이 사업시행자로서 정비구역 내 토지 등을 수용하고 관리처분계획을 실행할 수 있는 권한을 받게 되는 중요한 행정처분입니다.",법적 도시 처분 비법 따르다 행정청 성격 주거 설립 시행 환경 받다 사업 조합 재개발조합,-1
정신적 고통에 대한 위자료를 청구할 수 있는 기준은 무엇인가요?,"정신적 고통에 대한 위자료를 청구하려면, 피해자가 실제로 그 주거지에 거주하며 개방감 및 사생활 침해로 인해 상당한 정신적 고통을 겪은 사실을 입증해야 합니다. 예를 들어, 개방감 및 사생활 침해로 인한 시가 하락액 상당의 재산상 손해 외에, 일상 생활상 불편과 정신적 고통을 입은 경우, 이에 대한 위자료를 청구할 수 있습니다. 또한, 위자료 액수는 피해의 정도와 거주 기간 등을 종합적으로 고려하여 결정됩니다.",2018-11-14T09:00:00.000+09:00,0,"정신적 고통에 대한 위자료를 청구할 수 있는 기준은 무엇인가요? 정신적 고통에 대한 위자료를 청구하려면, 피해자가 실제로 그 주거지에 거주하며 개방감 및 사생활 침해로 인해 상당한 정신적 고통을 겪은 사실을 입증해야 합니다. 예를 들어, 개방감 및 사생활 침해로 인한 시가 하락액 상당의 재산상 손해 외에, 일상 생활상 불편과 정신적 고통을 입은 경우, 이에 대한 위자료를 청구할 수 있습니다. 또한, 위자료 액수는 피해의 정도와 거주 기간 등을 종합적으로 고려하여 결정됩니다.",위자료 대한 기준 고통 청구 정신,-1
추완항소가 적법하게 성립되기 위한 조건은 무엇인가요?,추완항소가 적법하게 성립되기 위해서는 항소인이 판결의 존재를 알게 된 날로부터 2주 이내에 추완항소를 제기해야 합니다. 이는 대법원 판례(2006. 2. 24. 선고 2004다8005 판결)를 참고한 것입니다.,2018-05-09T09:00:00.000+09:00,0,추완항소가 적법하게 성립되기 위한 조건은 무엇인가요? 추완항소가 적법하게 성립되기 위해서는 항소인이 판결의 존재를 알게 된 날로부터 2주 이내에 추완항소를 제기해야 합니다. 이는 대법원 판례(2006. 2. 24. 선고 2004다8005 판결)를 참고한 것입니다.,추완항소 적법하다 조건 성립,-1
전부 승소한 당사자가 항소를 제기할 수 있는 조건은 무엇인가요?,"전부 승소한 당사자는 항소를 제기할 대상이나 이익이 없어 항소를 제기할 수 없습니다. 이는 상소가 자기에게 불리하게 취소, 변경을 구하는 것이기 때문에 전부 승소한 판결에 대한 항소는 허용되지 않습니다.",2016-10-28T09:00:00.000+09:00,0,"전부 승소한 당사자가 항소를 제기할 수 있는 조건은 무엇인가요? 전부 승소한 당사자는 항소를 제기할 대상이나 이익이 없어 항소를 제기할 수 없습니다. 이는 상소가 자기에게 불리하게 취소, 변경을 구하는 것이기 때문에 전부 승소한 판결에 대한 항소는 허용되지 않습니다.",항소 승소 당사자 조건 제기 전부,-1
