announce_date,input,output,is_divorce,input_processed,text_combined,combined_processed,topic_label,topic_probability,topic_name
2018-03-13T09:00:00.000+09:00,이혼 시 재산분할 청구가 어느 정도 인정될 수 있나요?,"이혼 시 재산분할 청구는 실질적으로 기여한 바에 따라 결정됩니다. 법원은 혼인 중 형성된 재산의 실질적 기여도를 기준으로 분할 비율을 정하며, 주로 경제적 기여뿐만 아니라 가사노동 등 비경제적 기여도 함께 고려합니다. 이번 사례에서 재산분할 청구가 일부만 인용된 이유도 이러한 기준에 따른 것입니다.",1,이혼 재산 분할 청구,"이혼 시 재산분할 청구가 어느 정도 인정될 수 있나요? 이혼 시 재산분할 청구는 실질적으로 기여한 바에 따라 결정됩니다. 법원은 혼인 중 형성된 재산의 실질적 기여도를 기준으로 분할 비율을 정하며, 주로 경제적 기여뿐만 아니라 가사노동 등 비경제적 기여도 함께 고려합니다. 이번 사례에서 재산분할 청구가 일부만 인용된 이유도 이러한 기준에 따른 것입니다.",이혼 재산 분할 청구 실질 기여 결정 법원 혼인 형성 도르다 기준 비율 주로 경제 가사노동 비경 제적 고려 이번 사례 일부 인용 이유,8,0.5751779,이혼 시 금전 문제 (재산분할·양육비)
2016-06-10T09:00:00.000+09:00,"혼인관계에서 부정행위를 저지른 배우자가 이혼 후 약정한 금액을 지급하지 않는 경우, 법적 조치는 어떠한가요?","혼인관계에서 부정행위를 저질러 이혼 후 약정한 금액을 지급하지 않는 배우자는 약정한 금액의 지급의무를 이행하지 않음으로 인해 약정에서 정한 기한의 이익을 상실하게 됩니다. 이에 따라 약정금 및 지연손해금을 지급해야 하며, 지연손해금은 약정한 지급 기일 다음 날부터 다 갚는 날까지 소송촉진 등에 관한 특례법에 따라 연 15%의 비율로 계산됩니다.",1,혼인 관계 부정행위 저지르다 배우자 이혼 약정 금액 지급 법적 조치,"혼인관계에서 부정행위를 저지른 배우자가 이혼 후 약정한 금액을 지급하지 않는 경우, 법적 조치는 어떠한가요? 혼인관계에서 부정행위를 저질러 이혼 후 약정한 금액을 지급하지 않는 배우자는 약정한 금액의 지급의무를 이행하지 않음으로 인해 약정에서 정한 기한의 이익을 상실하게 됩니다. 이에 따라 약정금 및 지연손해금을 지급해야 하며, 지연손해금은 약정한 지급 기일 다음 날부터 다 갚는 날까지 소송촉진 등에 관한 특례법에 따라 연 15%의 비율로 계산됩니다.",혼인 관계 부정행위 저지르다 배우자 이혼 약정 금액 지급 법적 조치 의무 이행 음으로 기한 이익 지연손해금 기일 갚다 소송 촉진 특례법 비율 계산,7,0.95754904,혼인 파탄의 원인과 법적 책임
2018-11-30T09:00:00.000+09:00,"이혼합의서 작성 후 이혼의 효력이 상실되었을 때, 재산분할에 관한 합의의 효력은 어떻게 되나요?","혼인 중 당사자 쌍방이 재산분할에 관한 협의를 하였으나 이후 협의상 이혼이 이루어지지 않고 혼인관계가 존속되거나 재판상 이혼이 이루어진 경우, 그 재산분할에 관한 협의는 조건 불성취로 효력이 발생하지 않습니다. 따라서 협의상 이혼이 이루어질 것을 조건으로 한 재산분할 협의는 이혼이 실제로 이루어질 때에만 효력을 갖습니다.",1,이혼 합 작성 상실 되어다 재산 분할,"이혼합의서 작성 후 이혼의 효력이 상실되었을 때, 재산분할에 관한 합의의 효력은 어떻게 되나요? 혼인 중 당사자 쌍방이 재산분할에 관한 협의를 하였으나 이후 협의상 이혼이 이루어지지 않고 혼인관계가 존속되거나 재판상 이혼이 이루어진 경우, 그 재산분할에 관한 협의는 조건 불성취로 효력이 발생하지 않습니다. 따라서 협의상 이혼이 이루어질 것을 조건으로 한 재산분할 협의는 이혼이 실제로 이루어질 때에만 효력을 갖습니다.",이혼 합 작성 상실 되어다 재산 분할 혼인 당사자 쌍방 협의 이루어지다 관계 존속 재판 불성취 따라서 실제 갖다,2,0.45674714,부정행위 및 제3자 개입 책임
2015-09-17T09:00:00.000+09:00,배우자 있는 자와 간통행위를 한 사람(상간자)은 법적으로 어떤 책임이 있나요?,"배우자 있는 자와 간통행위를 하고 이로 인해 그 자가 배우자와 별거하거나 이혼하는 등으로 혼인관계를 파탄에 이르게 한 경우, 상간자는 그 자의 배우자에 대하여 불법행위를 구성하고 정신상의 고통을 위자할 의무가 있습니다. 대법원 판결(2004다1899)을 참조하면, 상간자는 피해 배우자에게 금전적으로 위자할 의무가 있으며, 위자료의 액수는 부정행위의 내용, 정도 및 기간, 배우자간의 결혼기간 및 가족관계 등을 고려하여 산정됩니다.",1,배우자 간통 행위 사람 법적 책임,"배우자 있는 자와 간통행위를 한 사람(상간자)은 법적으로 어떤 책임이 있나요? 배우자 있는 자와 간통행위를 하고 이로 인해 그 자가 배우자와 별거하거나 이혼하는 등으로 혼인관계를 파탄에 이르게 한 경우, 상간자는 그 자의 배우자에 대하여 불법행위를 구성하고 정신상의 고통을 위자할 의무가 있습니다. 대법원 판결(2004다1899)을 참조하면, 상간자는 피해 배우자에게 금전적으로 위자할 의무가 있으며, 위자료의 액수는 부정행위의 내용, 정도 및 기간, 배우자간의 결혼기간 및 가족관계 등을 고려하여 산정됩니다.",배우자 간통 행위 사람 법적 책임 이로 자 별거 거나 이혼 혼인 관계 파탄 이르다 간자 대하 불법행위 구성 정신 상 고통 위자 의무 대법원 판결 참조 피해 금전 위자료 액수 부정행위 기간 결혼 가족 고려 산정,5,0.51421523,
2019-10-30T09:00:00.000+09:00,동호회 활동 중 알게 된 사람과 부정행위가 사실혼 관계 파탄에 미치는 영향은 어떻게 평가되나요?,"부부공동생활을 유지하고 있는 사실혼 관계에 있는 배우자가 있는 사실을 알고도, 부정행위를 통해 그 관계를 방해하거나 파탄시킨 경우, 이는 위자료 청구의 사유로 인정됩니다. 특히 활동 장소나 시간, 관계의 지속 기간 등의 구체적 정황을 고려하여, 그 부정행위가 미친 영향을 종합적으로 평가합니다.",1,동호회 활동 부정행위 사실혼 관계 파탄 영향 평,"동호회 활동 중 알게 된 사람과 부정행위가 사실혼 관계 파탄에 미치는 영향은 어떻게 평가되나요? 부부공동생활을 유지하고 있는 사실혼 관계에 있는 배우자가 있는 사실을 알고도, 부정행위를 통해 그 관계를 방해하거나 파탄시킨 경우, 이는 위자료 청구의 사유로 인정됩니다. 특히 활동 장소나 시간, 관계의 지속 기간 등의 구체적 정황을 고려하여, 그 부정행위가 미친 영향을 종합적으로 평가합니다.",동호회 활동 부정행위 사실혼 관계 파탄 영향 평 부부 생활 유지 배우자 알다 통해 시키다 이다 위자료 청구 사유 장소 시간 지속 기간 구체 정황 고려 종합,7,0.93141884,혼인 파탄의 원인과 법적 책임
2019-02-01T09:00:00.000+09:00,이혼 소송 분야에서 일방의 부정행위가 있는 있음에도 위자료 청구가 인정되지 않을 수 있는 경우는  무엇인가요?,"부정행위가 있더라도 위자료 청구가 인정되지 않을 수 있는 법적 근거는 부부공동생활이 이미 파탄에 이르러 실질적으로 부부관계가 유지되지 않은 경우입니다. 예를 들어, 협의이혼 전 이미 부부 사이에 모든 민형사상 책임을 묻지 않기로 합의한 경우, 이후의 부정행위는 위자료 청구의 근거로 인정되지 않을 수 있습니다.",1,이혼 소송 분야 일방 부정행위 위자료 청구,"이혼 소송 분야에서 일방의 부정행위가 있는 있음에도 위자료 청구가 인정되지 않을 수 있는 경우는  무엇인가요? 부정행위가 있더라도 위자료 청구가 인정되지 않을 수 있는 법적 근거는 부부공동생활이 이미 파탄에 이르러 실질적으로 부부관계가 유지되지 않은 경우입니다. 예를 들어, 협의이혼 전 이미 부부 사이에 모든 민형사상 책임을 묻지 않기로 합의한 경우, 이후의 부정행위는 위자료 청구의 근거로 인정되지 않을 수 있습니다.",이혼 소송 분야 일방 부정행위 위자료 청구 법적 부부 생활 파탄 이르다 실질 관계 유지 들다 협의 사이 모든 사상 책임 묻다 합,0,0.9360551,위자료 및 손해배상 청구
2022-07-08T09:00:00.000+09:00,이혼 소송에서 위자료 청구와 위자료 지급은 어떤 기준에 의해 결정되나요?,"이혼 소송에서 위자료 청구와 지급은 혼인 생활 동안의 유책행위와 그로 인한 정신적 고통을 기준으로 결정됩니다. 예를 들어, 배우자의 부정행위나 상대방에 대한 가해 행위 등이 유책행위로 인정되며, 이러한 행위들로 인해 혼인 관계가 회복할 수 없을 정도로 파탄에 이르면 위자료 배상 책임이 부여될 수 있습니다.",1,이혼 소송 위자료 청구 지급 기준 결정,"이혼 소송에서 위자료 청구와 위자료 지급은 어떤 기준에 의해 결정되나요? 이혼 소송에서 위자료 청구와 지급은 혼인 생활 동안의 유책행위와 그로 인한 정신적 고통을 기준으로 결정됩니다. 예를 들어, 배우자의 부정행위나 상대방에 대한 가해 행위 등이 유책행위로 인정되며, 이러한 행위들로 인해 혼인 관계가 회복할 수 없을 정도로 파탄에 이르면 위자료 배상 책임이 부여될 수 있습니다.",이혼 소송 위자료 청구 지급 기준 결정 혼인 생활 동안 유책 행위 그로 정신 고통 들다 배우자 부정행위 상대방 가해 관계 파탄 이르다 배상 책임 부여,0,0.7940966,위자료 및 손해배상 청구
2015-01-28T09:00:00.000+09:00,부모가 자녀의 양육비를 지급할 의무를 부인하기 위해 증명해야 하는 조건은 무엇인가요?,"민법 제 부모의 의무에 따르면, 부모는 자녀에 대해 양육비를 지급할 의무가 있습니다. 부모가 이러한 의무를 이행하지 않으려면, 자신이 양육비를 지급할 수 없는 합리적인 사유가 있었다는 것을 증명해야 합니다. 즉, 경제적 어려움이나 다른 정당한 사유로 인해 양육비 지불이 불가능하다는 것을 뒷받침할 수 있는 자료를 제시해야 합니다.",1,부모 자녀 양육비 지급 의무 부인,"부모가 자녀의 양육비를 지급할 의무를 부인하기 위해 증명해야 하는 조건은 무엇인가요? 민법 제 부모의 의무에 따르면, 부모는 자녀에 대해 양육비를 지급할 의무가 있습니다. 부모가 이러한 의무를 이행하지 않으려면, 자신이 양육비를 지급할 수 없는 합리적인 사유가 있었다는 것을 증명해야 합니다. 즉, 경제적 어려움이나 다른 정당한 사유로 인해 양육비 지불이 불가능하다는 것을 뒷받침할 수 있는 자료를 제시해야 합니다.",부모 자녀 양육비 지급 의무 부인 민법 대해 이행 자신 합리 사유 경제 어려움 다른 지불 뒷받침 자료 제시,3,0.87687415,위자료 및 손해배상 청구
2023-04-27T09:00:00.000+09:00,양육비 산정 기준에 있어 법원이 고려해야 할 사항은 무엇인가요?,"양육비 산정 시 법원은 양육비의 형평성을 고려하여 청구인과 상대방의 경제적 상황, 사건본인의 양육 환경, 필리핀과 대한민국의 물가 차이 등의 제반 사정을 종합적으로 고려할 수 있습니다. 특히 서울가정법원이 공표한 양육비 산정기준표는 대한민국 내 미성년 자녀를 양육하는 경우를 기준으로 하기 때문에, 사건본인이 필리핀에서 양육된 경우에는 그 적용이 어려울 수 있음을 유의해야 합니다.",1,양육비 산정 기준 법원 고려 사항,"양육비 산정 기준에 있어 법원이 고려해야 할 사항은 무엇인가요? 양육비 산정 시 법원은 양육비의 형평성을 고려하여 청구인과 상대방의 경제적 상황, 사건본인의 양육 환경, 필리핀과 대한민국의 물가 차이 등의 제반 사정을 종합적으로 고려할 수 있습니다. 특히 서울가정법원이 공표한 양육비 산정기준표는 대한민국 내 미성년 자녀를 양육하는 경우를 기준으로 하기 때문에, 사건본인이 필리핀에서 양육된 경우에는 그 적용이 어려울 수 있음을 유의해야 합니다.",양육비 산정 기준 법원 고려 사항 형평성 청구인 상대방 경제 사건 본인 양육 환경 필리핀 대한민국 물 차이 제반 사정 종합 가정법원 공표 미성년 자녀 어리다 유,8,0.90084326,이혼 시 금전 문제 (재산분할·양육비)
2020-05-26T09:00:00.000+09:00,이혼소송에서 재산분할의 기준은 무엇인가요?,"이혼소송에서 재산분할의 기준은 민법 제839조에 따라 배분이 이루어집니다. 여기서 원칙적으로 혼인 중 취득한 재산은 부부 공동의 재산으로 간주하며, 이를 공평하게 분할해야 합니다. 재산의 형성에 기여한 정도나 이혼의 사유 등의 사정을 고려하여 분할 비율이 결정됩니다.",1,이혼소송 재산 분할 기준,"이혼소송에서 재산분할의 기준은 무엇인가요? 이혼소송에서 재산분할의 기준은 민법 제839조에 따라 배분이 이루어집니다. 여기서 원칙적으로 혼인 중 취득한 재산은 부부 공동의 재산으로 간주하며, 이를 공평하게 분할해야 합니다. 재산의 형성에 기여한 정도나 이혼의 사유 등의 사정을 고려하여 분할 비율이 결정됩니다.",이혼소송 재산 분할 기준 민법 배분 이루어지다 여기 원칙 혼인 취득 부부 공동 간주 이르다 형성 기여 이혼 사유 사정 고려 비율 결정 제839조에,8,0.8214643,이혼 시 금전 문제 (재산분할·양육비)
