input,output,input_processed,is_divorce,law_topic,topic_name,topic_probability,announce_date,law_intent,intent_label
"배우자가 있음에도 불구하고 혼인할 의사가 없는 상태에서 혼인을 빙자하여 동거한 경우, 동거 상대방에게 정신적 고통에 대한 위자료를 지급해야 하나요?","민법 제750조에 따라 불법행위를 원인으로 한 손해배상 책임이 있습니다. 따라서 배우자가 있음에도 불구하고 혼인을 빙자하여 동거한 경우, 그로 인해 상대방이 입은 정신적 고통에 대한 위자료를 지급할 의무가 있습니다. 이때 위자료의 액수는 불법행위의 내용과 기간, 당사자 사이의 관계 등을 종합적으로 고려하여 산정됩니다.",배우자 불구 혼인 의사 상태 빙자 동거 상대방 정신 고통 위자료 지급 하나요,1,2,위자료 및 손해배상 청구,0.56543845,2011-11-17T09:00:00.000+09:00,증거·입증,2
배우자의 부정행위를 안 뒤 언제까지 소송할 수 있나요?,,,,1,위자료 및 손해배상 청구,,,기간·시효,4
법원은 폭언을 어느 정도로 인정하나요?,,,,3,부정행위의 법률적 근거,,,개념·범위·기준,7
불법행위로 인한 손해배상 책임을 피하기 위해 제3자가 증명해야 하는 조건은 무엇인가요?,"제3자가 불법행위로 인한 손해배상 책임을 피하기 위해서는 부정행위 당시 상대방이 정상적으로 혼인관계를 유지하는 배우자가 있음을 몰랐거나 알 수 없었다는 점을 증명해야 합니다. 예를 들어, 상대방으로부터 배우자가 있음에도 불구하고 그런 사실을 은폐했거나 속였다는 것을 증명할 수 있어야 합니다.",불법행위 손해배상 책임 제3자가,1,1,부정행위 및 제3자 개입 책임,0.88317525,2021-08-11T09:00:00.000+09:00,증거·입증,2
불법행위로 인한 손해배상 청구에서 정신적 고통의 배상 인정 기준은 무엇인가요?,"불법행위로 인한 손해배상 청구에서 정신적 고통의 배상은 민법 제750조에 근거하여 인정됩니다. 구체적으로, 제3자가 배우자와 부정행위를 하여 부부 공동생활을 침해하는 경우, 배우자는 그로 인해 겪은 정신적 고통에 대해 손해배상을 청구할 수 있습니다(대법원 2014. 11. 20. 선고 2011다2997 판결 참조). 여기서 손해배상의 인정 범위는 피해자의 혼인 기간, 부정행위의 기간, 정신적 고통의 정도 등을 종합적으로 고려하여 결정됩니다.",불법행위 손해배상 청구 정신 고통 배상 기준,1,2,위자료 및 손해배상 청구,0.44004795,2020-11-19T09:00:00.000+09:00,가능 여부 판단,0
법원은 양육권 분쟁에서 무엇을 가장 중요하게 보나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,개념·범위·기준,7
"제3자가 부부의 일방과 부정행위로 인해 부부의 권리를 침해한 경우, 어떤 조건을 만족해야 불법행위로 인정되나요?","제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고 그에 대한 배우자로서의 권리를 침해하여 배우자에게 정신적 고통을 가하는 경우, 이는 원칙적으로 불법행위를 구성합니다. 이를 위해 제3자는 부정행위를 저지른 사실과 그로 인해 배우자가 정신적 손해를 입었다는 사실이 입증되어야 합니다.",부부 일방 부정행위 권리 침해 불법행위 제3자가,1,1,부정행위 및 제3자 개입 책임,0.7470963,2021-06-24T09:00:00.000+09:00,가능 여부 판단,0
제3자의 부정행위로 인해 배우자가 입은 정신적 고통에 대해 손해배상이 인정될 수 있는 조건은 무엇인가요?,"대법원 판례에 따르면, 제3자가 부부의 일방과 부정행위를 하여 혼인의 본질에 해당하는 부부공동생활을 침해하거나 방해하고 그로 인해 배우자가 정신적 고통을 겪은 경우, 이는 불법행위로 간주됩니다. 따라서 제3자는 그에 대한 정신적 고통을 금전적으로 배상할 의무가 있습니다.",부정행위 배우자 입다 정신 고통 대해 손해배상 제3자의,1,2,위자료 및 손해배상 청구,0.74811935,2020-11-13T00:00:00.000+09:00,가능 여부 판단,0
"배우자가 있음에도 불구하고 제3자와 사실혼관계를 유지한 경우, 그 제3자가 위자료를 청구할 수 있나요?","배우자가 있음에도 불구하고 제3자와 사실혼관계를 유지한 경우, 제3자가 상대방의 배우자에게 위자료를 청구하는 것은 선량한 풍속 기타 사회질서에 반하는 행위로 간주되며, 이는 신의칙상 허용될 수 없습니다. 따라서 배우자가 있는 상황을 알면서 사실혼관계를 유지한 제3자의 위자료 청구는 인정되지 않습니다.",배우자 불구 사실혼 관계 유지 위자료 청구 제3자와 제3자가,1,2,위자료 및 손해배상 청구,0.37830254,2022-12-22T09:00:00.000+09:00,가능 여부 판단,0
결혼 무효와 이혼의 차이는 무엇인가요?,,,,3,부정행위의 법률적 근거,,,개념·범위·기준,7
양육비를 합의서에서 재산 이전이나 금전 지급으로 약정하는 경우 어떻게 해석되나요?,"양육비에 관해 재산 이전이나 금전 지급으로 약정한 경우, 합의서의 문언 내용에 따라 이를 해석해야 합니다. 예를 들어, 특정 부동산의 소유권을 이전하지 않으면 금전 지급으로 전환되는 내용이 명시되어 있다면, 명확한 조건이 있는 것으로 간주됩니다.",양육비 합 서다 재산 이전 금전 지급 약정 해석,1,0,이혼 시 금전 문제 (재산분할·양육비),0.94102335,2015-04-01T09:00:00.000+09:00,가능 여부 판단,0
제3자가 타인의 부부공동생활에 개입하여 불법행위를 구성하는 조건은 무엇인가요?,제3자가 타인의 부부공동생활에 개입하여 불법행위를 구성하기 위해서는 제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고 그에 대한 배우자로서의 권리를 침해하여 배우자에게 정신적 고통을 가하는 행위가 있어야 합니다. 여기서 부정행위는 간통을 포함하여 부부의 정조의무에 충실하지 않는 일체의 부정한 행위를 포함합니다.,타인 부부 생활 개입 불법행위 구성 제3자가,1,1,부정행위 및 제3자 개입 책임,0.897365,2021-04-06T09:00:00.000+09:00,법적 근거·조문,6
민법 제826조는 어떤 의미를 갖나요?,,,,2,부정행위 및 제3자 개입 책임,,,법적 근거·조문,6
배우자와 제3자의 부정행위로 인해 발생한 정신적 고통에 대한 손해배상 청구의 법적 근거는 무엇인가요?,제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하고 배우자에게 정신적 고통을 가하는 행위는 원칙적으로 불법행위를 구성합니다(대법원 2014. 11. 20. 선고 2011므2997 전원합의체 판결 참조). 이에 따라 피해자는 가해자에 대해 정신적 고통에 대한 위자료를 청구할 수 있습니다.,배우자 부정행위 정신 고통 손해배상 청구 법적 제3자의,1,2,위자료 및 손해배상 청구,0.9341434,2023-04-21T09:00:00.000+09:00,제재·구제수단,5
"제3자가 부부의 일방과 부정행위를 하여 혼인의 본질에 해당하는 부부공동생활을 침해한 경우, 그로 인한 손해배상 책임은 어떻게 발생하나요?","대법원 판례에 따르면, 제3자가 부부의 일방과 부정행위를 하여 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하면 이는 불법행위를 구성하며, 이에 따라 배우자에게 정신적 고통을 유발한 경우 손해배상 책임이 발생합니다. 부정행위는 간통을 포함하는 넓은 개념을 포함하며, 부부의 정조의무에 충실하지 않은 일체의 부정한 행위가 해당됩니다. 구체적인 사안의 정도와 상황에 따라 이를 평가합니다.",부부 일방 부정행위 혼인 본질 해당 생활 침해 그로 손해배상 책임 하나요 제3자가,1,1,부정행위 및 제3자 개입 책임,0.94908893,2021-02-04T09:00:00.000+09:00,절차·방법,1
부부의 일방과 부정행위를 한 제3자가 불법행위로 인한 위자료 지급 의무를 면탈하기 위해 어떤 조건을 증명해야 하나요?,"부부의 일방과 부정행위를 한 제3자가 불법행위로 인한 위자료 지급 의무를 면탈하기는 어려운 편입니다. 이는 대법원 판례에 따라, 제3자가 부부 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해한 경우, 이는 불법행위가 성립되기 때문입니다. 다만, 제3자가 그 부정행위가 타인과의 혼인관계를 파탄시키는 데 기여하지 않았다는 것을 증명하는 등의 구체적인 사실관계를 통해 면책을 주장할 수는 있을 것입니다.",부부 일방 부정행위 불법행위 위자료 지급 의무 타다 하나요 제3자가,1,1,부정행위 및 제3자 개입 책임,0.57620174,2022-06-17T09:00:00.000+09:00,증거·입증,2
이혼의 정의는 법적으로 어떻게 되나요?,,,,3,부정행위의 법률적 근거,,,개념·범위·기준,7
부정행위로 인해 발생한 정신적 손해의 배상 책임을 인정하기 위해서는 어떤 조건이 필요합니까?,"부정행위로 인한 정신적 손해의 배상 책임을 인정하기 위해서는, 제3자가 부부의 일방과 부정행위를 함으로써 부부 공동생활을 침해하거나 그 유지를 방해하였다는 사실을 증명해야 합니다. 이와 관련하여, 대법원 2014. 11. 20. 선고 2011므2997 전원합의체 판결에 따르면, 이러한 행위는 원칙적으로 불법행위를 구성하며, 피해자는 부부의 공동생활이 침해됨으로써 입은 정신적 고통에 대한 배상을 요구할 수 있습니다.",부정행위 정신 손해 배상 책임,1,2,위자료 및 손해배상 청구,0.68083155,2022-08-11T09:00:00.000+09:00,가능 여부 판단,0
상담 이후 심리 치료 연계를 받을 수 있나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
