input,output,announce_date,is_divorce,text_combined,topic_label,combined_processed,ngram_text,topic_probability,topic_name,super_category
혼인 중 발생한 금전거래와 관련하여 차용금 반환 청구권이 인정되는 조건은 무엇인가요?,"혼인 중 발생한 금전거래에 대한 차용금 반환 청구권이 인정되기 위해서는 차용금 지급의 사실을 입증할 객관적인 금융거래 자료가 필요합니다. 또한 차용금의 변제를 독촉하는 증거가 존재해야 하며, 재산분할 관련 약정에서 명확하게 차용금에 대한 정함이 있어야 합니다.",2016-08-19T09:00:00.000+09:00,1,"혼인 중 발생한 금전거래와 관련하여 차용금 반환 청구권이 인정되는 조건은 무엇인가요? 혼인 중 발생한 금전거래에 대한 차용금 반환 청구권이 인정되기 위해서는 차용금 지급의 사실을 입증할 객관적인 금융거래 자료가 필요합니다. 또한 차용금의 변제를 독촉하는 증거가 존재해야 하며, 재산분할 관련 약정에서 명확하게 차용금에 대한 정함이 있어야 합니다.",4,혼인 금전 거래 차용 반환 청구권 지급 입증 객관 금융 자료 또한 변제 독촉 증거 존재 재산 분할 약정 정함,혼인 금전 거래 차용 반환 청구권 지급 입증 객관 금융 자료 또한 변제 독촉 증거 존재 재산_분할 약정 정함,0.3851101,민법상 재산분할 원칙과 채무 문제,위자료·정신적 손해배상
제3자가 부부의 일방과 부정행위를 할 경우 어떤 법적 책임을 지게 되나요?,제3자는 타인의 부부공동생활에 개입하여 그 파탄을 초래하거나 본질적인 부부공동생활을 방해하여서는 안 됩니다. 제3자가 부부의 일방과 부정행위를 함으로써 부부공동생활을 침해하고 배우자에게 정신적 고통을 주는 행위는 원칙적으로 불법행위에 해당합니다. 따라서 제3자는 불법행위책임으로 인해 위자료를 지급할 의무가 있습니다.,2019-04-02T00:00:00.000+09:00,1,제3자가 부부의 일방과 부정행위를 할 경우 어떤 법적 책임을 지게 되나요? 제3자는 타인의 부부공동생활에 개입하여 그 파탄을 초래하거나 본질적인 부부공동생활을 방해하여서는 안 됩니다. 제3자가 부부의 일방과 부정행위를 함으로써 부부공동생활을 침해하고 배우자에게 정신적 고통을 주는 행위는 원칙적으로 불법행위에 해당합니다. 따라서 제3자는 불법행위책임으로 인해 위자료를 지급할 의무가 있습니다.,5,부부 일방 부정행위 법적 책임 지게 타인 생활 개입 파탄 초래 본질 방해 서다 침해 배우자 정신 고통 주다 행위 원칙 불법행위 해당 위자료 지급 의무 제3자가 제3자는,부부_일방 부정행위 법적_책임 지게 타인 생활_개입 파탄_초래 본질 방해 서다 침해 배우자 정신_고통 주다 행위_원칙 불법행위 해당 위자료_지급 의무 제3자가_제3자는,0.8419211,제3자의 혼인 본질 침해와 정신적 피해,불법행위_책임
민법 제840조 제1호에서 규정한 재판상 이혼사유 중 부정한 행위의 의미는 무엇인가요?,"민법 제840조 제1호에 따른 재판상 이혼사유인 부정한 행위는 간통에 이르지 아니하였더라도 부부의 정조의무에 충실하지 않은 일체의 부정행위를 포함하는 넓은 개념으로 해석됩니다. 대법원 판례에 따르면 일방 배우자가 배우자 있는 다른 사람과 부정행위를 저지른 경우, 이는 이혼 사유로 인정될 수 있습니다.",2022-11-16T09:00:00.000+09:00,1,"민법 제840조 제1호에서 규정한 재판상 이혼사유 중 부정한 행위의 의미는 무엇인가요? 민법 제840조 제1호에 따른 재판상 이혼사유인 부정한 행위는 간통에 이르지 아니하였더라도 부부의 정조의무에 충실하지 않은 일체의 부정행위를 포함하는 넓은 개념으로 해석됩니다. 대법원 판례에 따르면 일방 배우자가 배우자 있는 다른 사람과 부정행위를 저지른 경우, 이는 이혼 사유로 인정될 수 있습니다.",6,민법 규정 재판 사유 부정 행위 의미 간통 이르다 부부 정조 의무 일체 부정행위 포함 개념 해석 대법원 판례 일방 배우자 저지르다 제840조 제1호에서 제1호에,민법 규정 재판 사유 부정_행위 의미 간통 이르다 부부 정조_의무 일체 부정행위 포함_개념 해석 대법원_판례 일방 배우자 저지르다 제840조 제1호에서 제1호에,0.6364865,부부의 정조 의무와 부정행위의 정의,유책사유·배상 책임
배우자가 있는 사람과 부정행위를 한 경우 위자료의 액수는 어떻게 정해지나요?,"위자료의 액수는 부정행위의 내용, 정도 및 기간, 결혼기간 및 가족관계, 부정행위가 부부공동생활에 미친 영향을 참작하여 정해집니다. 예를 들어, 부정행위가 장기간 지속되었거나 부부 공동생활에 큰 영향을 미친 경우 위자료 액수가 증가할 수 있습니다. 한 사건에서는 이러한 기준에 따라 위자료 액수가 13,000,000원으로 정해진 사례가 있습니다.",2018-10-31T09:00:00.000+09:00,1,"배우자가 있는 사람과 부정행위를 한 경우 위자료의 액수는 어떻게 정해지나요? 위자료의 액수는 부정행위의 내용, 정도 및 기간, 결혼기간 및 가족관계, 부정행위가 부부공동생활에 미친 영향을 참작하여 정해집니다. 예를 들어, 부정행위가 장기간 지속되었거나 부부 공동생활에 큰 영향을 미친 경우 위자료 액수가 증가할 수 있습니다. 한 사건에서는 이러한 기준에 따라 위자료 액수가 13,000,000원으로 정해진 사례가 있습니다.",1,배우자 부정행위 위자료 액수 정해지다 기간 결혼 가족 관계 부부 생활 영향 참작 장기간 지속 크다 증 사건 기준 정해진 사례,배우자 부정행위 위자료_액수 정해지다 기간 결혼 가족_관계 부부 생활 영향 참작 장기간 지속 크다 증 사건 기준 정해진 사례,0.97187614,법원의 판결 결정 시 종합적 고려사항,소송 절차·입증 책임
사해행위 취소 및 원상회복청구 소송에서 다른 채권자의 청구가 부적법해지는 상황은 어떤 경우인가요?,"사해행위 취소 및 원상회복청구 소송에서 다른 채권자의 청구가 부적법해지는 경우는, 동일한 사해행위에 대해 먼저 진행된 다른 채권자의 취소 및 원상회복청구가 승소하여 판결이 확정되고 재산이나 가액의 회복이 이미 완료된 경우입니다. 예를 들어, 경기신용보증재단이 채무자 B와 C에 대해 사해행위로 인정된 재산분할계약을 취소하고 원상회복을 통해 배상금을 지급받은 상황에서, 동일한 사해행위에 대해 다른 채권자가 추가로 취소 및 원상회복청구를 하더라도 이로 인해 권리보호의 이익이 중복되므로 부적법하게 됩니다.",2018-05-11T09:00:00.000+09:00,1,"사해행위 취소 및 원상회복청구 소송에서 다른 채권자의 청구가 부적법해지는 상황은 어떤 경우인가요? 사해행위 취소 및 원상회복청구 소송에서 다른 채권자의 청구가 부적법해지는 경우는, 동일한 사해행위에 대해 먼저 진행된 다른 채권자의 취소 및 원상회복청구가 승소하여 판결이 확정되고 재산이나 가액의 회복이 이미 완료된 경우입니다. 예를 들어, 경기신용보증재단이 채무자 B와 C에 대해 사해행위로 인정된 재산분할계약을 취소하고 원상회복을 통해 배상금을 지급받은 상황에서, 동일한 사해행위에 대해 다른 채권자가 추가로 취소 및 원상회복청구를 하더라도 이로 인해 권리보호의 이익이 중복되므로 부적법하게 됩니다.",4,사해행위 취소 원상회복 청구 소송 채권자 부적 법해 대해 진행 승소 판결 확정 재산 가액 회복 완료 신용 보증 재단 채무자 오다 분할 계약 통해 배상금 지급 받다 추 이로 권리 보호 이익 중복,사해행위_취소 원상회복 청구_소송 채권자 부적 법해 대해 진행 승소 판결 확정 재산 가액 회복 완료 신용 보증 재단 채무자 오다 분할 계약 통해 배상금 지급 받다 추 이로 권리 보호 이익 중복,0.97751147,민법상 재산분할 원칙과 채무 문제,위자료·정신적 손해배상
혼인 중 제3자와의 부정행위로 인한 손해배상 책임의 요건은 무엇인가요?,"제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고 이에 따른 배우자로서의 권리를 침해하여 배우자에게 정신적 고통을 가한 경우, 이는 민법상 불법행위를 구성합니다. 따라서 제3자는 그로 인해 발생한 정신적 손해에 대한 손해배상 책임을 집니다.",2018-08-22T09:00:00.000+09:00,1,"혼인 중 제3자와의 부정행위로 인한 손해배상 책임의 요건은 무엇인가요? 제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고 이에 따른 배우자로서의 권리를 침해하여 배우자에게 정신적 고통을 가한 경우, 이는 민법상 불법행위를 구성합니다. 따라서 제3자는 그로 인해 발생한 정신적 손해에 대한 손해배상 책임을 집니다.",5,혼인 부정행위 손해배상 책임 부부 일방 본질 해당 생활 유지 방해 배우자 로서 권리 침해 정신 고통 민법 불법행위 구성 그로 손해 지다 제3자와의 제3자가 제3자는,혼인 부정행위 손해배상_책임 부부_일방 본질_해당 생활_유지 방해 배우자 로서_권리 침해 정신_고통 민법 불법행위_구성 그로 손해 지다 제3자와의 제3자가_제3자는,0.9750176,제3자의 혼인 본질 침해와 정신적 피해,불법행위_책임
배우자에게 배우자의 부정행위로 인한 정신적 고통에 대한 위자료 청구가 가능한가요?,"네, 배우자가 제3자와 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 그 유지를 방해하여 배우자에게 정신적 고통을 가하는 행위는 원칙적으로 불법행위를 구성하며, 이에 대한 위자료 청구가 가능합니다. 이는 부부의 정조의무에 충실하지 않는 일체의 부정한 행위가 포함되며, 구체적 사안에 따라 그 정도와 상황을 평가합니다.",2021-11-30T09:00:00.000+09:00,1,"배우자에게 배우자의 부정행위로 인한 정신적 고통에 대한 위자료 청구가 가능한가요? 네, 배우자가 제3자와 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 그 유지를 방해하여 배우자에게 정신적 고통을 가하는 행위는 원칙적으로 불법행위를 구성하며, 이에 대한 위자료 청구가 가능합니다. 이는 부부의 정조의무에 충실하지 않는 일체의 부정한 행위가 포함되며, 구체적 사안에 따라 그 정도와 상황을 평가합니다.",6,배우자 부정행위 정신 고통 위자료 청구 혼인 본질 해당 부부 생활 유지 방해 행위 원칙 불법행위 구성 정조 의무 일체 부정 포함 구체 사안 평 제3자와,배우자 부정행위 정신_고통 위자료_청구 혼인_본질 해당 부부 생활_유지 방해 행위_원칙 불법행위_구성 정조_의무 일체_부정 포함 구체_사안 평 제3자와,0.6444178,부부의 정조 의무와 부정행위의 정의,유책사유·배상 책임
부부의 일방이 제3자와 부정행위를 한 시점이 위자료 청구에 영향을 미치나요?,"네, 부부의 일방이 제3자와 부정행위를 한 시점도 위자료 청구에 영향을 미칠 수 있습니다. 예를 들어, 부정행위가 발생한 기간이 길수록 위자료 액수가 증가할 가능성이 있습니다.",2022-10-27T09:00:00.000+09:00,1,"부부의 일방이 제3자와 부정행위를 한 시점이 위자료 청구에 영향을 미치나요? 네, 부부의 일방이 제3자와 부정행위를 한 시점도 위자료 청구에 영향을 미칠 수 있습니다. 예를 들어, 부정행위가 발생한 기간이 길수록 위자료 액수가 증가할 가능성이 있습니다.",1,부부 일방 부정행위 시점 위자료 청구 영향 미치나 기간 기다 액수 증 가능성 제3자와,부부_일방 부정행위 시점 위자료_청구 영향 미치나 기간 기다 액수 증 가능성 제3자와,0.95118314,법원의 판결 결정 시 종합적 고려사항,소송 절차·입증 책임
배우자가 있는 사람과 부정행위를 한 제3자는 어떤 법적 책임을 질 수 있나요?,"제3자가 배우자가 있는 사람과 부정행위를 하여 혼인의 본질에 해당하는 부부공동생활을 침해하거나 그 유지를 방해함으로써 배우자에게 정신적 고통을 주었다면, 이는 불법행위를 구성합니다. 대법원은 이러한 행위를 통해 부부의 혼인관계를 침해하거나 정신적 고통을 가한 사실이 인정될 경우, 부정행위를 한 제3자에 대해 위자료 청구를 인정하고 있습니다(대법원 2015. 5. 29. 선고 2013므2441 판결, 대법원 2005. 5. 13. 선고 2004다1899 판결 참조).",2018-09-11T09:00:00.000+09:00,1,"배우자가 있는 사람과 부정행위를 한 제3자는 어떤 법적 책임을 질 수 있나요? 제3자가 배우자가 있는 사람과 부정행위를 하여 혼인의 본질에 해당하는 부부공동생활을 침해하거나 그 유지를 방해함으로써 배우자에게 정신적 고통을 주었다면, 이는 불법행위를 구성합니다. 대법원은 이러한 행위를 통해 부부의 혼인관계를 침해하거나 정신적 고통을 가한 사실이 인정될 경우, 부정행위를 한 제3자에 대해 위자료 청구를 인정하고 있습니다(대법원 2015. 5. 29. 선고 2013므2441 판결, 대법원 2005. 5. 13. 선고 2004다1899 판결 참조).",5,배우자 부정행위 법적 책임 혼인 본질 해당 부부 생활 유지 방해 정신 고통 주다 불법행위 구성 대법원 행위 통해 관계 대해 위자료 청구 선고 판결 참조 제3자는 제3자가 제3자에,배우자 부정행위 법적_책임 혼인_본질 해당 부부 생활_유지 방해 정신_고통 주다 불법행위_구성 대법원 행위 통해 관계 대해 위자료_청구 선고_판결 참조 제3자는 제3자가 제3자에,0.97988695,제3자의 혼인 본질 침해와 정신적 피해,불법행위_책임
부정행위로 인한 위자료 액수는 어떻게 결정되나요?,"부정행위로 인한 위자료 액수는 여러 요소를 종합적으로 고려하여 결정됩니다. 주요 고려 요소로는 혼인관계의 지속기간, 혼인생활의 내용과 양상, 부정행위의 정도와 빈도, 그리고 부정행위 당사자의 태도 등이 있습니다. 예를 들어, 혼인관계가 오래 지속되지 않았거나 부정행위가 이례적인 경우, 위자료 액수가 비교적 낮게 책정될 수 있습니다. 반대의 경우, 위자료 액수는 증가할 수 있습니다.",2019-11-08T09:00:00.000+09:00,1,"부정행위로 인한 위자료 액수는 어떻게 결정되나요? 부정행위로 인한 위자료 액수는 여러 요소를 종합적으로 고려하여 결정됩니다. 주요 고려 요소로는 혼인관계의 지속기간, 혼인생활의 내용과 양상, 부정행위의 정도와 빈도, 그리고 부정행위 당사자의 태도 등이 있습니다. 예를 들어, 혼인관계가 오래 지속되지 않았거나 부정행위가 이례적인 경우, 위자료 액수가 비교적 낮게 책정될 수 있습니다. 반대의 경우, 위자료 액수는 증가할 수 있습니다.",1,부정행위 위자료 액수 결정 여러 요소 종합 고려 주요 혼인 관계 지속 기간 생활 양상 빈도 당사자 태도 이례 비교 책정 반대 증,부정행위 위자료_액수 결정 여러 요소 종합_고려 주요 혼인 관계 지속 기간 생활 양상 빈도 당사자 태도 이례 비교 책정 반대 증,0.9718763,법원의 판결 결정 시 종합적 고려사항,소송 절차·입증 책임
